Title,MaxPlayers,Genre,ReviewScore,Sales,UsedPrice,Console,Rating,Year,PlayLength
Spider-Man 3,1,Action,58,0.01,6.95,PSP,M,2006,10.31666667
Spider-Man 3,1,Action,63,0.5,11.95,X360,E,2007,10.31666667
Spider-Man 3,1,Action,53,0.45,14.95,Wii,T,2007,10.31666667
Spider-Man 3,1,Action,79,0.44,16.95,DS,M,2007,10.31666667
Spider-Man 3,1,Action,60,0.27,17.95,PS3,E,2007,10.31666667
Spider-Man: Friend or Foe,2,Action,60,0.27,17.95,X360,E,2007,9
Spider-Man: Friend or Foe,2,Action,59,0.13,17.95,Wii,T,2007,9
Spider-Man: Web of Shadows,1,Action,68,0.36,19.95,X360,E,2008,12
Spider-Man: Web of Shadows,1,Action,67,0.2,24.95,PS3,E,2008,12
Spider-Man: Web of Shadows,1,Action,77,0.09,15.95,DS,E,2008,12
SpongeBob Squarepants: Creature from the Krusty Krab,1,Action / Adventure,57,0.44,14.95,Wii,T,2006,6.833333333
SpongeBob SquarePants: The Yellow Avenger,1,Action,67,0.31,13.95,DS,E,2005,11.85
SpongeBob SquarePants: The Yellow Avenger,1,Action,48,0.49,12.95,PSP,T,2006,11.85
Spore Creatures,1,Adventure / Simulation,65,0.7,14.95,DS,T,2008,-1
Sprung,1,Adventure,48,0.06,8.95,DS,E,2004,17.75
Spyro: Shadow Legacy,1,Role-Playing (RPG),50,0.15,17.95,DS,E,2005,4.5
SSX Blur,4,Sports,74,0.31,17.95,Wii,E,2007,10
SSX on Tour,1,Sports,79,0.2,16.95,PSP,E,2005,15.5
Star Fox Command,1,Action,76,0.39,14.95,DS,T,2006,3
Star Ocean: First Departure,1,Action / Role-Playing (RPG),74,0.17,17.95,PSP,T,2008,21.51666667
Star Trek Legacy,2,Action / Strategy,64,0.14,24.95,X360,E,2006,9
Star Trek: Conquest,1,Action / Strategy,49,0.11,27.95,Wii,T,2007,-1
Star Trek: Tactical Assault,1,Action / Strategy,63,0.04,17.95,DS,T,2006,-1
Star Trek: Tactical Assault,1,Action / Strategy,64,0.02,17.95,PSP,E,2006,-1
Star Wars Battlefront: Renegade Squadron,1,Action,73,0.93,16.95,PSP,T,2007,2.716666667
Star Wars: Battlefront II,1,Action,69,1.09,16.95,PSP,E,2005,9
Star Wars: Episode III - Revenge of the Sith,1,Action,73,0.28,16.95,DS,E,2005,5
Star Wars: Lethal Alliance,1,Action,61,0.12,17.95,PSP,T,2006,5
Star Wars: The Clone Wars - Jedi Alliance,1,Action / Adventure,68,0.6,17.95,DS,T,2008,5
Star Wars: The Force Unleashed,1,Action,73,1.59,16.95,X360,T,2008,5.5
Star Wars: The Force Unleashed,2,Action,71,1.01,14.95,Wii,E,2008,5.5
Star Wars: The Force Unleashed,1,Action,71,0.92,17.95,PS3,E,2008,5.5
Street Fighter Alpha 3 MAX,1,Action,80,0.27,14.95,PSP,M,2006,3
Stuntman: Ignition,4,Action / Racing / Driving,75,0.26,14.95,X360,T,2007,6.333333333
Stuntman: Ignition,4,Action / Racing / Driving,76,0.16,16.95,PS3,E,2007,6.333333333
Summer Athletics 2009,4,Sports,56,0.23,19.95,Wii,M,2008,-1
Summon Night: Twin Age,1,Role-Playing (RPG),73,0.06,24.95,DS,E,2008,15
Super Dodgeball Brawlers,1,Action / Sports,65,0.12,19.95,DS,T,2008,0.683333333
Super Mario 64 DS,1,Action,85,4.69,24.95,DS,E,2004,24.48333333
Super Mario Galaxy,2,Action,97,4.94,39.95,Wii,E,2007,20
Super Monkey Ball Adventure,1,Action / Racing / Driving,56,0.05,24.95,PSP,E,2006,-1
Super Monkey Ball: Banana Blitz,4,Action,74,1,14.95,Wii,T,2006,5.4
Super Monkey Ball: Touch & Roll,1,Action,63,0.7,15.95,DS,T,2005,0.566666667
Super Paper Mario,1,Action / Role-Playing (RPG),85,1.5,29.95,Wii,E,2007,19.76666667
Super Princess Peach,1,Action,75,0.7,29.95,DS,T,2005,9.283333333
Super Smash Bros.: Brawl,6,Action,93,5.71,39.95,Wii,T,2008,15
Super Swing Golf,1,Sports,72,0.14,16.95,Wii,T,2006,-1
Super Swing Golf Season 2,1,Sports,70,0.07,19.95,Wii,M,2007,-1
Superman Returns,1,Action,51,0.19,7.95,X360,E,2006,22
Supreme Commander,1,Strategy,56,0.04,17.95,X360,T,2008,20
Surf's Up,1,Racing / Driving / Sports,56,0.28,14.95,DS,T,2007,1.283333333
Surf's Up,2,Sports,64,0.16,16.95,Wii,T,2007,1.283333333
Surf's Up,4,Sports,61,0.09,17.95,X360,E,2007,1.283333333
Surf's Up,4,Sports,59,0.04,17.95,PS3,E,2007,1.283333333
SWAT: Target Liberty,1,Action / Strategy,50,0.04,12.95,PSP,E,2007,-1
Syberia,1,Adventure,52,0.1,23.95,DS,T,2008,10.5
Syphon Filter: Dark Mirror,1,Action,87,0.24,12.95,PSP,M,2006,7.283333333
Syphon Filter: Logan's Shadow,1,Action / Strategy,85,0.23,16.95,PSP,T,2007,10
Tales of Symphonia: Dawn of the New World,4,Role-Playing (RPG),68,0.2,24.95,Wii,T,2008,36.76666667
Tales of Vesperia,1,Adventure / Role-Playing (RPG),79,0.25,27.95,X360,M,2008,56.86666667
Tao's Adventure: Curse of the Demon Seal,1,Role-Playing (RPG),50,0.04,14.95,DS,E,2006,45
Target: Terror,1,Action,33,0.07,17.95,Wii,M,2008,-1
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,1,Action / Adventure,58,0.06,17.95,DS,T,2005,4.5
Tekken: Dark Resurrection,1,Action,88,0.81,17.95,PSP,E,2006,30.5
Tenchu Z,1,Action,56,0.28,14.95,X360,E,2006,21.25
Tenchu: Dark Secret,1,Action,37,0.02,14.95,DS,E,2006,7.1
Test Drive Unlimited,1,Racing / Driving,82,0.25,17.95,X360,T,2006,38.5
Test Drive Unlimited,1,Racing / Driving,80,0.08,17.95,PSP,M,2007,38.5
Tetris DS,1,Strategy,84,0.66,17.95,DS,M,2006,27.5
Tetris Evolution,4,Strategy,52,0.06,17.95,X360,T,2007,-1
Tetris Party,4,Strategy,75,0.16,24.95,Wii,T,2008,2
The Ant Bully,1,Action,45,0.09,16.95,Wii,T,2006,3.566666667
The BIGS,4,Action / Simulation / Sports,66,0.36,17.95,Wii,M,2007,10.13333333
The BIGS,4,Action / Simulation / Sports,79,0.19,12.95,X360,M,2007,10.13333333
The BIGS,4,Action / Simulation / Sports,80,0.16,22.95,PS3,T,2007,10.13333333
The BIGS,1,Action / Simulation / Sports,72,0.11,16.95,PSP,M,2007,10.13333333
The Chronicles of Narnia: Prince Caspian,2,Action / Role-Playing (RPG),63,0.33,16.95,Wii,M,2008,11.65
The Chronicles of Narnia: Prince Caspian,1,Role-Playing (RPG),54,0.19,10.95,DS,M,2008,11.65
The Chronicles of Narnia: Prince Caspian,2,Action / Role-Playing (RPG),56,0.13,14.95,X360,M,2008,11.65
The Chronicles of Narnia: The Lion /  the Witch a...,1,Action / Role-Playing (RPG),65,0.18,12.95,DS,T,2005,2.666666667
The Club,4,Action,76,0.13,14.95,X360,T,2008,4.75
The Club,4,Action,72,0.1,14.95,PS3,M,2008,4.75
The Con,1,Action,63,0.15,8.95,PSP,E,2005,-1
The Dark Spire,1,Adventure / Role-Playing (RPG),69,0.04,24.95,DS,T,2008,45
The Darkness,1,Action,82,0.36,14.95,X360,M,2007,10
The Darkness,1,Action,80,0.2,14.95,PS3,E,2007,10
The Elder Scrolls IV: Oblivion,1,Action / Role-Playing (RPG),94,2.12,19.95,X360,E,2006,80
The Elder Scrolls IV: Oblivion,1,Action / Role-Playing (RPG),93,1.2,17.95,PS3,T,2007,80
The Elder Scrolls IV: Shivering Isles,1,Action / Role-Playing (RPG),86,0.18,24.95,X360,E,2007,15.8
The Eye of Judgment,2,Strategy,75,0.3,12.95,PS3,E,2007,-1
The Fast and the Furious,1,Racing / Driving,58,0.02,22.95,PSP,M,2007,-1
The Godfather: The Game,1,Action,77,0.2,17.95,X360,T,2006,20
The Golden Compass,1,Action,41,0.27,9.95,X360,M,2007,7
The Golden Compass,1,Action,35,0.26,14.95,Wii,E,2007,7
The Golden Compass,1,Action,40,0.12,12.95,PS3,M,2007,7
The Golden Compass,1,Action,28,0.1,14.95,PSP,E,2007,7
The House of the Dead 2 & 3 Return,2,Action,66,0.74,17.95,Wii,M,2008,4
The Incredible Hulk,1,Action,46,0.29,16.95,Wii,T,2008,5.216666667
The Incredible Hulk,1,Action,55,0.22,17.95,X360,E,2008,5.216666667
The Incredible Hulk,1,Action,55,0.21,16.95,PS3,T,2008,5.216666667
The King of Fighters Collection: The Orochi Saga,1,Action,70,0.09,17.95,Wii,E,2008,-1
The King of Fighters Collection: The Orochi Saga,1,Action,61,0.07,17.95,PSP,E,2008,-1
The Last Remnant,1,Role-Playing (RPG),66,0.23,14.95,X360,T,2008,75
The Legend of Heroes II: Prophecy of the Moonli...,1,Role-Playing (RPG),63,0.04,17.95,PSP,E,2006,22.8
The Legend of Heroes III: Song of the Ocean,1,Role-Playing (RPG),58,0.03,17.95,PSP,T,2007,50
The Legend of Heroes: A Tear of Vermillion,1,Role-Playing (RPG),68,0.08,17.95,PSP,T,2005,29.83333333
The Legend of Kage 2,1,Action,70,0.03,14.95,DS,E,2008,3.333333333
The Legend of Zelda: Phantom Hourglass,1,Action,90,1.92,24.95,DS,E,2007,19.4
The Legend of Zelda: Twilight Princess,1,Action / Role-Playing (RPG),95,3.33,39.95,Wii,M,2006,43
The Legendary Starfy,1,Action / Adventure,75,0.5,24.95,DS,E,2008,9.9
The Lord of the Rings: Tactics,1,Role-Playing (RPG) / Strategy,64,0.11,19.95,PSP,M,2005,5
The Lord of the Rings: The Battle for Middle Ea...,1,Strategy,79,0.27,19.95,X360,T,2006,16.58333333
The Orange Box,1,Action,96,1.06,17.95,X360,E,2007,29
The Outfit,2,Action,70,0.23,14.95,X360,E,2006,7.866666667
The Rub Rabbits!,2,Action / Adventure,68,0.02,17.95,DS,M,2005,2.333333333
The Settlers,1,Strategy,39,0.09,17.95,DS,T,2007,4.833333333
The Simpsons Game,1,Action,69,0.6,17.95,DS,M,2007,1
The Simpsons Game,2,Action,71,0.55,17.95,X360,T,2007,1
The Simpsons Game,2,Action,64,0.47,17.95,Wii,T,2007,1
The Simpsons Game,2,Action,71,0.39,17.95,PS3,E,2007,1
The Simpsons Game,1,Action,59,0.23,16.95,PSP,M,2007,1
The Sims 2,1,Role-Playing (RPG) / Simulation,70,0.83,17.95,DS,M,2005,34.91666667
The Sims 2,1,Simulation / Strategy,65,0.46,14.95,PSP,T,2005,34.91666667
The Sims 2: Apartment Pets,1,Simulation,50,0.33,17.95,DS,M,2008,-1
The Sims 2: Castaway,1,Simulation,66,0.66,16.95,DS,M,2007,8
The Sims 2: Castaway,1,Simulation,73,0.45,17.95,Wii,T,2007,8
The Sims 2: Castaway,1,Simulation,64,0.08,17.95,PSP,T,2007,8
The Sims 2: Pets,1,Simulation,49,0.97,14.95,DS,T,2006,27.7
The Sims 2: Pets,1,Simulation,57,0.21,17.95,PSP,T,2006,27.7
The Sims 2: Pets,1,Simulation,65,0.43,22.95,Wii,T,2007,27.7
The Spiderwick Chronicles,2,Action / Adventure,62,0.16,16.95,Wii,M,2008,5
The Spiderwick Chronicles,2,Action / Adventure,59,0.07,14.95,X360,E,2008,5
The Spiderwick Chronicles,1,Role-Playing (RPG),60,0.06,12.95,DS,E,2008,5
The Urbz: Sims in the City,1,Simulation,67,0.41,12.95,DS,M,2004,20
The Warriors,1,Action,52,0.24,17.95,PSP,T,2007,10.45
The World Ends With You,1,Action / Adventure / Role-Playing (RPG),88,0.37,17.95,DS,M,2007,30
Thrillville,1,Simulation / Strategy,72,0.2,14.95,PSP,E,2006,8.233333333
Thrillville: Off the Rails,4,Simulation / Strategy,70,0.37,16.95,Wii,E,2007,9.633333333
Thrillville: Off the Rails,4,Simulation / Strategy,73,0.12,17.95,X360,E,2007,9.633333333
Thrillville: Off the Rails,1,Simulation / Strategy,72,0.08,16.95,PSP,T,2007,9.633333333
Tiger Woods PGA Tour,1,Sports,78,0.21,17.95,PSP,E,2005,-1
Tiger Woods PGA Tour 06,4,Sports,71,0.33,9.95,X360,T,2005,-1
Tiger Woods PGA Tour 06,1,Sports,80,0.2,9.95,PSP,T,2005,-1
Tiger Woods PGA Tour 07,1,Sports,80,0.45,9.95,X360,T,2006,10
Tiger Woods PGA Tour 07,4,Sports,81,0.32,14.95,PS3,E,2006,10
Tiger Woods PGA Tour 07,1,Sports,78,0.21,12.95,PSP,E,2006,10
Tiger Woods PGA Tour 07,4,Sports,71,0.46,17.95,Wii,T,2007,10
Tiger Woods PGA Tour 08,4,Sports,72,1,17.95,Wii,T,2007,-1
Tiger Woods PGA Tour 08,4,Sports,80,0.51,14.95,X360,T,2007,-1
Tiger Woods PGA Tour 08,4,Sports,79,0.22,12.95,PS3,T,2007,-1
Tiger Woods PGA Tour 09,4,Sports,84,0.37,19.95,X360,E,2008,-1
Tiger Woods PGA Tour 09,4,Sports,82,0.36,19.95,PS3,E,2008,-1
Time Crisis 4,2,Action,60,0.33,24.95,PS3,M,2007,1
TimeShift,1,Action,70,0.32,12.95,X360,M,2007,8.916666667
TimeShift,1,Action,70,0.11,16.95,PS3,M,2007,8.916666667
TMNT,1,Action,58,0.28,19.95,X360,E,2007,5
TMNT,1,Action,60,0.16,17.95,Wii,E,2007,5
TNA iMPACT!,4,Sports,62,0.26,14.95,X360,M,2008,8.25
TNA iMPACT!,4,Sports,64,0.21,12.95,PS3,M,2008,8.25
TNA iMPACT!,1,Sports,43,0.14,14.95,Wii,E,2008,8.25
Tokobot,1,Strategy,72,0.06,17.95,PSP,T,2005,8.683333333
Tom Clancy's EndWar,1,Strategy,77,0.56,16.95,X360,E,2008,9.75
Tom Clancy's EndWar,1,Strategy,76,0.28,17.95,PS3,M,2008,9.75
Tom Clancy's Ghost Recon: Advanced Warfighter,4,Action,90,1.46,14.95,X360,E,2006,8.75
Tom Clancy's Ghost Recon: Advanced Warfighter 2...,1,Action,86,0.89,14.95,X360,T,2007,8.75
Tom Clancy's Ghost Recon: Advanced Warfighter 2...,4,Action,84,0.35,17.95,PS3,T,2007,8.75
Tom Clancy's Rainbow Six: Vegas,2,Action,88,1.19,14.95,X360,E,2006,9
Tom Clancy's Rainbow Six: Vegas,2,Action,86,0.49,16.95,PS3,E,2007,9
Tom Clancy's Rainbow Six: Vegas 2,2,Action,82,1.61,16.95,X360,M,2008,9
Tom Clancy's Rainbow Six: Vegas 2,2,Action,81,0.67,24.95,PS3,E,2008,9
Tom Clancy's Splinter Cell: Double Agent,1,Action,85,0.67,17.95,X360,E,2006,11
Tom Clancy's Splinter Cell: Double Agent,2,Action,61,0.11,17.95,Wii,T,2006,11
Tom Clancy's Splinter Cell: Double Agent,1,Action / Strategy,78,0.19,22.95,PS3,M,2007,11
Tomb Raider: Underworld,1,Action,76,0.51,17.95,X360,E,2008,10.03333333
Tomb Raider: Underworld,1,Action,75,0.44,17.95,PS3,T,2008,10.03333333
Tomb Raider: Underworld,1,Action,70,0.14,17.95,Wii,T,2008,10.03333333
Tony Hawk's American Sk8land,1,Sports,84,0.21,16.95,DS,E,2005,20
Tony Hawk's American Wasteland,1,Sports,75,0.29,14.95,X360,E,2005,13
Tony Hawk's Downhill Jam,1,Racing / Driving / Sports,76,0.22,14.95,DS,T,2006,-1
Tony Hawk's Project 8,2,Sports,68,0.42,17.95,PSP,M,2006,17
Tony Hawk's Project 8,2,Sports,81,0.42,16.95,X360,E,2006,17
Tony Hawk's Project 8,2,Sports,76,0.3,14.95,PS3,T,2006,17
Tony Hawk's Proving Ground,2,Sports,72,0.51,16.95,X360,T,2007,8.133333333
Tony Hawk's Proving Ground,2,Sports,73,0.37,12.95,PS3,E,2007,8.133333333
Tony Hawk's Proving Ground,2,Sports,57,0.23,16.95,Wii,E,2007,8.133333333
Tony Hawk's Proving Ground,1,Sports,39,0.21,13.95,DS,M,2007,8.133333333
Tony Hawk's Underground 2: Remix,1,Sports,83,0.49,14.95,PSP,T,2005,23.45
Too Human,1,Action / Role-Playing (RPG),65,0.35,14.95,X360,T,2008,15
Top Spin 2,4,Sports,75,0.16,12.95,X360,T,2006,10
Top Spin 3,4,Sports,78,0.09,19.95,X360,T,2008,-1
Top Spin 3,1,Sports,75,0.08,24.95,PS3,M,2008,-1
Touch Detective,1,Adventure,60,0.07,14.95,DS,T,2006,6.133333333
Touch Detective 2 1/2,1,Adventure,67,0.08,14.95,DS,T,2007,6.633333333
Touch the Dead,1,Action,56,0.2,16.95,DS,T,2007,4.65
Transformers: Autobots,1,Action / Racing / Driving,67,1.17,17.95,DS,E,2007,-1
Transformers: Decepticons,1,Action / Racing / Driving,66,1.17,17.95,DS,M,2007,-1
Transformers: The Game,1,Action,52,0.51,14.95,X360,M,2007,5.5
Transformers: The Game,1,Action,53,0.35,17.95,Wii,T,2007,5.5
Transformers: The Game,1,Action,54,0.32,17.95,PS3,E,2007,5.5
Trauma Center: New Blood,2,Action / Simulation,77,0.22,17.95,Wii,E,2007,12.56666667
Trauma Center: Second Opinion,1,Action / Simulation,80,0.28,17.95,Wii,T,2006,9
Trauma Center: Under the Knife,1,Action / Simulation,81,0.3,15.95,DS,T,2005,8.266666667
Trauma Center: Under The Knife 2,1,Action / Simulation,79,0.09,19.95,DS,T,2008,10.53333333
Tropix!,1,Action,59,0.05,23.95,DS,M,2008,-1
True Swing Golf,1,Sports,66,0.12,14.95,DS,E,2005,-1
Turn It Around,1,Racing / Driving / Sports,39,0.02,9.95,DS,E,2007,1
Turning Point: Fall of Liberty,1,Action,43,0.24,7.95,X360,M,2008,5
Turning Point: Fall of Liberty,1,Action,42,0.22,7.95,PS3,T,2008,5
Turok,1,Action,69,0.47,14.95,X360,E,2008,7.75
Turok,1,Action,67,0.36,16.95,PS3,M,2008,7.75
TV Show King,4,Strategy,65,0.19,17.95,Wii,T,2008,30
Twisted Metal: Head-On,1,Action / Racing / Driving,79,0.73,14.95,PSP,E,2005,-1
Two Worlds,1,Action / Role-Playing (RPG),50,0.43,14.95,X360,M,2007,27.58333333
UEFA Champions League 2006-2007,4,Sports,72,0.03,6.95,X360,T,2007,-1
UEFA Champions League 2006-2007,1,Sports,71,0.01,14.95,PSP,T,2007,-1
UEFA Euro 2008,7,Sports,79,0.07,17.95,PS3,T,2008,-1
UEFA Euro 2008,4,Sports,80,0.05,14.95,X360,M,2008,-1
UEFA Euro 2008,1,Sports,68,0.04,19.95,PSP,E,2008,-1
Ultimate Band,1,Action / Simulation,69,0.11,14.95,DS,E,2008,-1
Ultimate Ghosts 'N' Goblins,1,Action,72,0.06,17.95,PSP,E,2006,5.5
Ultimate Mortal Kombat 3,1,Action,73,0.05,23.95,DS,E,2007,2
Uncharted: Drake's Fortune,1,Action,88,1.76,24.95,PS3,T,2007,9
Universe at War: Earth Assault,1,Action / Strategy,66,0.07,14.95,X360,T,2008,16
Unreal Tournament III,1,Action,86,0.33,16.95,PS3,M,2007,12.51666667
Unreal Tournament III,2,Action,82,0.23,14.95,X360,M,2008,12.51666667
Unsolved Crimes,1,Action / Adventure / Racing / Driving,66,0.05,17.95,DS,T,2008,-1
Untold Legends: Brotherhood of the Blade,1,Action / Role-Playing (RPG),68,0.56,12.95,PSP,M,2005,21
Untold Legends: Dark Kingdom,2,Action / Role-Playing (RPG),58,0.13,16.95,PS3,E,2006,25
Untold Legends: The Warrior's Code,1,Action / Role-Playing (RPG),65,0.14,14.95,PSP,T,2006,-1
Valhalla Knights,1,Action / Role-Playing (RPG),53,0.17,16.95,PSP,T,2006,100
Valkyria Chronicles,1,Action / Role-Playing (RPG) / Strategy,86,0.65,24.95,PS3,T,2008,35.08333333
Valkyrie Profile: Covenant of the Plume,1,Role-Playing (RPG) / Strategy,74,0.2,24.95,DS,M,2008,18.75
Valkyrie Profile: Lenneth,1,Role-Playing (RPG),80,0.16,22.95,PSP,E,2006,34.38333333
Vampire Rain,1,Action,38,0.15,11.95,X360,T,2007,10.5
Vampire Rain,1,Action,30,0.04,24.95,PS3,E,2008,10.5
Victorious Boxers: Revolution,1,Action / Simulation / Sports,59,0.08,24.95,Wii,E,2007,-1
Viewtiful Joe: Double Trouble!,1,Action,73,0.08,14.95,DS,E,2005,5
Viewtiful Joe: Red Hot Rumble,1,Action,63,0.07,14.95,PSP,E,2006,9.9
Viking: Battle for Asgard,1,Action,68,0.16,14.95,X360,M,2008,16
Viking: Battle for Asgard,1,Action,65,0.14,16.95,PS3,M,2008,16
Virtua Fighter 5,2,Action,85,0.3,14.95,PS3,M,2007,1.5
Virtua Fighter 5,2,Action,89,0.18,17.95,X360,E,2007,1.5
Virtua Tennis 3,4,Sports,80,0.24,19.95,PS3,E,2007,15.5
Virtua Tennis 3,1,Sports,79,0.02,16.95,PSP,M,2007,15.5
Virtua Tennis 3,4,Sports,80,0.01,14.95,X360,T,2007,15.5
Virtua Tennis: World Tour,1,Sports,84,0.18,14.95,PSP,M,2005,-1
Viva Pi$?ata,4,Simulation / Strategy,84,0.44,16.95,X360,E,2006,39.5
Viva Pi$?ata: Party Animals,4,Racing / Driving,56,0.17,14.95,X360,T,2007,8.883333333
Viva Pi$?ata: Pocket Paradise,1,Simulation / Strategy,82,0.28,17.95,DS,T,2008,21
Viva Pi$?ata: Trouble in Paradise,2,Racing / Driving / Simulation / Strategy,82,0.14,17.95,X360,T,2008,20.86666667
Wall-E,4,Action,51,0.48,17.95,Wii,E,2008,6.716666667
Wall-E,4,Action,50,0.27,14.95,X360,E,2008,6.716666667
Wall-E,4,Action,51,0.09,17.95,PS3,M,2008,6.716666667
Warhammer 40 / 000: Squad Command,1,Strategy,67,0.12,17.95,PSP,T,2007,-1
Warhammer 40 / 000: Squad Command,1,Strategy,57,0.05,17.95,DS,T,2007,-1
Warhammer: Battle for Atluma,1,Strategy,55,0.03,17.95,PSP,M,2006,-1
Wario Land: Shake It!,1,Action,78,0.59,19.95,Wii,T,2008,6.766666667
Wario: Master of Disguise,1,Action,60,0.29,14.95,DS,E,2007,9.5
WarioWare Touched!,2,Action / Racing / Driving / Sports,81,0.54,22.95,DS,E,2004,2.5
WarioWare: Smooth Moves,6,Action / Racing / Driving / Sports,83,0.9,39.95,Wii,T,2006,3
Warriors Orochi,2,Action / Role-Playing (RPG),53,0.17,19.95,X360,E,2007,15
WarTech: Senko no Ronde,2,Action,60,0.03,12.95,X360,T,2006,1.166666667
Wii Fit,1,Educational / Sports,80,9.6,24.95,Wii,T,2007,4
Wii Play,2,Action / Sports,58,14.66,14.95,Wii,T,2006,4
Wild Arms XF,1,Role-Playing (RPG),64,0.06,17.95,PSP,M,2008,53.86666667
Winning Eleven: Pro Evolution Soccer 2007,6,Sports,80,0.08,11.95,X360,E,2006,37
Winter Sports: The Ultimate Challenge,1,Racing / Driving / Sports,52,0.47,16.95,Wii,E,2007,-1
WipEout Pulse,1,Action / Racing / Driving,82,0.11,16.95,PSP,T,2007,9
WipEout Pure,1,Action / Racing / Driving,88,0.45,12.95,PSP,E,2005,8.8
WordJong,1,Strategy,77,0.12,17.95,DS,M,2007,-1
World Series of Poker,1,Sports / Strategy,37,0.21,14.95,PSP,E,2005,-1
World Series of Poker 2008: Battle for the Brac...,1,Simulation,74,0.05,19.95,X360,E,2007,-1
Worms: A Space Oddity,4,Action / Strategy,64,0.05,17.95,Wii,M,2008,10
Worms: Open Warfare,1,Action / Strategy,70,0.12,17.95,PSP,T,2006,9.116666667
Worms: Open Warfare,1,Action / Strategy,64,0.05,17.95,DS,E,2006,9.116666667
Worms: Open Warfare 2,1,Action / Strategy,81,0.07,17.95,DS,E,2007,9.116666667
Worms: Open Warfare 2,4,Action / Strategy,80,0.04,17.95,PSP,T,2007,9.116666667
WWE Smackdown vs. Raw 2006,4,Action / Sports,81,0.38,14.95,PSP,T,2005,9.416666667
WWE SmackDown vs. Raw 2007,4,Sports,81,0.45,12.95,X360,E,2006,9.116666667
WWE SmackDown vs. Raw 2007,4,Sports,78,0.34,14.95,PSP,T,2006,9.116666667
WWE Smackdown vs. Raw 2008,4,Sports,71,0.96,12.95,X360,T,2007,13.1
WWE Smackdown vs. Raw 2008,6,Sports,74,0.64,14.95,PS3,E,2007,13.1
WWE Smackdown vs. Raw 2008,4,Sports,68,0.46,16.95,PSP,E,2007,13.1
WWE Smackdown vs. Raw 2008,4,Sports,59,0.39,12.95,Wii,M,2007,13.1
WWE SmackDown vs. Raw 2008,1,Sports,61,0.11,14.95,DS,T,2007,13.1
X-Men: Legends II - Rise of Apocalypse,1,Action / Role-Playing (RPG),84,0.27,17.95,PSP,M,2005,22
X-Men: The Official Game,1,Action,52,0.14,14.95,X360,M,2006,12.06666667
X-Men: The Official Game,1,Action,50,0.1,14.95,DS,E,2006,12.06666667
Xiaolin Showdown,1,Action,44,0.06,14.95,PSP,M,2006,6
Yoshi Touch & Go,1,Action,73,0.36,17.95,DS,T,2005,4.5
Yoshi's Island DS,1,Action,81,1.49,27.95,DS,E,2006,9.583333333
Ys VI: The Ark of Napishtim,1,Action / Role-Playing (RPG),64,0.05,16.95,PSP,E,2006,13.66666667
Zack & Wiki: Quest for Barbaros' Treasure,1,Adventure,87,0.19,17.95,Wii,E,2007,15
Zendoku,1,Role-Playing (RPG) / Strategy,68,0.04,16.95,DS,E,2007,4
Zoids Assault,1,Role-Playing (RPG) / Strategy,46,0.07,17.95,X360,M,2007,12.05
Zoo Keeper,1,Action,74,0.1,14.95,DS,T,2004,5
Zoo Tycoon DS,1,Simulation / Strategy,44,0.92,12.95,DS,T,2005,-1
Zubo,1,Adventure / Role-Playing (RPG) / Strategy,75,0.05,14.95,DS,E,2008,15